#BranStark
#Time, luminosity, temperature, and frequency, measured in TDE restframe and corrected for Galactic extinction
#The flux (in Jy) is not corrected for Galactic extiction
#nu_kc=6.289e+14 Hz, t_peak=58603.87 MJD
#day_since_peak	band 	flux_Jy     	nu_rest     	lum         	err_lum     	lum_kc      	lum_bb      	T_bb        
3.096114e+02	UVM2 	1.452551e-05	1.415424e+15	2.466100e+42	7.722631e+41	4.339556e+41	6.243978e+42	3.348249e+04
1.554168e+01	UVW1 	3.757464e-04	1.260274e+15	5.030245e+43	2.316513e+42	1.054992e+43	1.697570e+44	3.501707e+04
1.922919e+01	UVW1 	3.588351e-04	1.260274e+15	4.803847e+43	3.982056e+42	1.024947e+43	1.538850e+44	3.406018e+04
2.220059e+01	UVW1 	3.364301e-04	1.260274e+15	4.503904e+43	3.318599e+42	9.732113e+42	1.390744e+44	3.339016e+04
2.516607e+01	UVW1 	3.333457e-04	1.260274e+15	4.462612e+43	3.288174e+42	9.783393e+42	1.323748e+44	3.266106e+04
2.823913e+01	UVW1 	3.426848e-04	1.260274e+15	4.587638e+43	2.957760e+42	1.021570e+43	1.305698e+44	3.191359e+04
2.833006e+01	UVW1 	2.876702e-04	1.260274e+15	3.851139e+43	3.192327e+42	8.579965e+42	1.094665e+44	3.189027e+04
3.065856e+01	UVW1 	2.798304e-04	1.260274e+15	3.746184e+43	2.760291e+42	8.425838e+42	1.039382e+44	3.145448e+04
3.085051e+01	UVW1 	3.040149e-04	1.260274e+15	4.069951e+43	2.998851e+42	9.155505e+42	1.128760e+44	3.144729e+04
3.423082e+01	UVW1 	3.040149e-04	1.260274e+15	4.069951e+43	2.249138e+42	9.187364e+42	1.119023e+44	3.129143e+04
3.669096e+01	UVW1 	2.697086e-04	1.260274e+15	3.610681e+43	1.995336e+42	8.171875e+42	9.863809e+43	3.117575e+04
3.953359e+01	UVW1 	2.647859e-04	1.260274e+15	3.544779e+43	2.285403e+42	8.040339e+42	9.631811e+43	3.107905e+04
4.273752e+01	UVW1 	2.772649e-04	1.260274e+15	3.711839e+43	3.076857e+42	8.439789e+42	1.002612e+44	3.097252e+04
4.728884e+01	UVW1 	2.623583e-04	1.260274e+15	3.512280e+43	3.234930e+42	8.034325e+42	9.350563e+43	3.071226e+04
4.763442e+01	UVW1 	1.953866e-04	1.260274e+15	2.615707e+43	1.927324e+42	5.984786e+42	6.959876e+43	3.070250e+04
6.781591e+01	UVW1 	1.701747e-04	1.260274e+15	2.278186e+43	2.517944e+42	5.259557e+42	5.935252e+43	3.032405e+04
6.857197e+01	UVW1 	1.509715e-04	1.260274e+15	2.021106e+43	2.047658e+42	4.663573e+42	5.271977e+43	3.034611e+04
7.273357e+01	UVW1 	1.468571e-04	1.260274e+15	1.966026e+43	1.448621e+42	4.524763e+42	5.159291e+43	3.045415e+04
8.536874e+01	UVW1 	1.255726e-04	1.260274e+15	1.681083e+43	1.393501e+42	3.840326e+42	4.489787e+43	3.076963e+04
8.707337e+01	UVW1 	1.054132e-04	1.260274e+15	1.411202e+43	1.689694e+42	3.222097e+42	3.773768e+43	3.079234e+04
9.080713e+01	UVW1 	9.792529e-05	1.260274e+15	1.310959e+43	1.328182e+42	2.987482e+42	3.521908e+43	3.087514e+04
9.479381e+01	UVW1 	1.063885e-04	1.260274e+15	1.424260e+43	1.311792e+42	3.246124e+42	3.825020e+43	3.086917e+04
9.851752e+01	UVW1 	1.232806e-04	1.260274e+15	1.650400e+43	1.520074e+42	3.774135e+42	4.396957e+43	3.072526e+04
1.036329e+02	UVW1 	8.767886e-05	1.260274e+15	1.173787e+43	1.189207e+42	2.681349e+42	3.135169e+43	3.077108e+04
1.495405e+02	UVW1 	6.235839e-05	1.260274e+15	8.348129e+42	1.845339e+42	2.010642e+42	1.983513e+43	2.867349e+04
1.547939e+02	UVW1 	5.900582e-05	1.260274e+15	7.899310e+42	9.458193e+41	1.862170e+42	1.963673e+43	2.948356e+04
1.594032e+02	UVW1 	6.469860e-05	1.260274e+15	8.661421e+42	1.356169e+42	2.008200e+42	2.234404e+43	3.014748e+04
1.640149e+02	UVW1 	4.394352e-05	1.260274e+15	5.882869e+42	1.625497e+42	1.336337e+42	1.592732e+43	3.101429e+04
1.737307e+02	UVW1 	6.529725e-05	1.260274e+15	8.741564e+42	2.415383e+42	1.908206e+42	2.623609e+43	3.287362e+04
1.793557e+02	UVW1 	7.029022e-05	1.260274e+15	9.409990e+42	1.993392e+42	2.010671e+42	3.001305e+43	3.398076e+04
2.031069e+02	UVW1 	2.850328e-05	1.260274e+15	3.815831e+42	1.440949e+42	8.565873e+41	1.063879e+43	3.154223e+04
3.096175e+02	UVW1 	3.242611e-05	1.260274e+15	4.340994e+42	1.039533e+42	9.363377e+41	1.347265e+43	3.348263e+04
1.554283e+01	U    	3.079362e-04	9.175035e+14	2.510336e+43	1.849684e+42	1.019736e+43	1.640804e+44	3.501676e+04
1.922994e+01	U    	2.706829e-04	9.175035e+14	2.206642e+43	3.048588e+42	9.030915e+42	1.355882e+44	3.406002e+04
2.220149e+01	U    	2.940768e-04	9.175035e+14	2.397352e+43	2.870456e+42	9.865698e+42	1.409811e+44	3.338995e+04
2.516702e+01	U    	3.079362e-04	9.175035e+14	2.510336e+43	2.774526e+42	1.039586e+43	1.406594e+44	3.266083e+04
2.823975e+01	U    	2.682013e-04	9.175035e+14	2.186411e+43	2.416511e+42	9.116066e+42	1.165136e+44	3.191343e+04
2.833090e+01	U    	2.293300e-04	9.175035e+14	1.869527e+43	2.755037e+42	7.796544e+42	9.946965e+43	3.189005e+04
3.065970e+01	U    	2.272275e-04	9.175035e+14	1.852387e+43	2.388557e+42	7.757029e+42	9.568764e+43	3.145444e+04
3.085166e+01	U    	2.379364e-04	9.175035e+14	1.939688e+43	2.322474e+42	8.123169e+42	1.001482e+44	3.144725e+04
3.423207e+01	U    	2.293300e-04	9.175035e+14	1.869527e+43	1.549708e+42	7.841175e+42	9.550516e+43	3.129136e+04
3.669212e+01	U    	2.314519e-04	9.175035e+14	1.886826e+43	1.737831e+42	7.922687e+42	9.562980e+43	3.117569e+04
3.953447e+01	U    	1.771988e-04	9.175035e+14	1.444547e+43	1.729621e+42	6.071364e+42	7.273086e+43	3.107901e+04
4.273857e+01	U    	2.401380e-04	9.175035e+14	1.957635e+43	2.343963e+42	8.236557e+42	9.784639e+43	3.097245e+04
4.728957e+01	U    	1.838488e-04	9.175035e+14	1.498759e+43	2.760816e+42	6.322412e+42	7.358181e+43	3.071224e+04
4.763525e+01	U    	1.907484e-04	9.175035e+14	1.555005e+43	1.861876e+42	6.560333e+42	7.629182e+43	3.070247e+04
6.781674e+01	U    	1.501277e-04	9.175035e+14	1.223860e+43	2.367155e+42	5.183461e+42	5.849394e+43	3.032408e+04
6.857316e+01	U    	1.138835e-04	9.175035e+14	9.283929e+42	1.966687e+42	3.931151e+42	4.444016e+43	3.034614e+04
7.273478e+01	U    	1.067728e-04	9.175035e+14	8.704259e+42	1.362876e+42	3.681561e+42	4.197855e+43	3.045419e+04
1.547946e+02	U    	5.813810e-05	9.175035e+14	4.739492e+42	1.178613e+42	2.025618e+42	2.136056e+43	2.948371e+04
1.594050e+02	U    	5.063617e-05	9.175035e+14	4.127925e+42	1.406725e+42	1.751565e+42	1.948883e+43	3.014762e+04
1.640158e+02	U    	3.841146e-05	9.175035e+14	3.131351e+42	1.932334e+42	1.316934e+42	1.569628e+43	3.101446e+04
1.554343e+01	B    	3.358787e-04	7.308789e+14	2.036899e+43	2.438869e+42	1.406791e+43	2.263567e+44	3.501660e+04
1.923034e+01	B    	2.410918e-04	7.308789e+14	1.462075e+43	3.905199e+42	1.012378e+43	1.519952e+44	3.405994e+04
2.220198e+01	B    	2.281300e-04	7.308789e+14	1.383469e+43	3.567822e+42	9.597639e+42	1.371494e+44	3.338983e+04
2.516752e+01	B    	2.239662e-04	7.308789e+14	1.358218e+43	3.377606e+42	9.442813e+42	1.277632e+44	3.266071e+04
2.824007e+01	B    	1.932780e-04	7.308789e+14	1.172113e+43	3.022757e+42	8.167919e+42	1.043946e+44	3.191335e+04
-2.791183e+01	g.ZTF	0.000000e+00	6.665889e+14	0.000000e+00	4.241194e+42	0.000000e+00	0.000000e+00	4.764958e+04
-2.791182e+01	g.ZTF	0.000000e+00	6.665889e+14	0.000000e+00	4.241194e+42	0.000000e+00	0.000000e+00	4.764957e+04
-2.791182e+01	g.ZTF	0.000000e+00	6.665889e+14	0.000000e+00	4.241194e+42	0.000000e+00	0.000000e+00	4.764957e+04
-2.791182e+01	g.ZTF	0.000000e+00	6.665889e+14	0.000000e+00	4.241194e+42	0.000000e+00	0.000000e+00	4.764957e+04
-2.791182e+01	g.ZTF	0.000000e+00	6.665889e+14	0.000000e+00	4.241194e+42	0.000000e+00	0.000000e+00	4.764957e+04
-2.791182e+01	g.ZTF	0.000000e+00	6.665889e+14	0.000000e+00	4.241194e+42	0.000000e+00	0.000000e+00	4.764957e+04
-2.791182e+01	g.ZTF	0.000000e+00	6.665889e+14	0.000000e+00	4.241194e+42	0.000000e+00	0.000000e+00	4.764957e+04
-2.791182e+01	g.ZTF	0.000000e+00	6.665889e+14	0.000000e+00	4.241194e+42	0.000000e+00	0.000000e+00	4.764957e+04
-2.791182e+01	g.ZTF	0.000000e+00	6.665889e+14	0.000000e+00	4.241194e+42	0.000000e+00	0.000000e+00	4.764957e+04
-2.791182e+01	g.ZTF	0.000000e+00	6.665889e+14	0.000000e+00	4.241194e+42	0.000000e+00	0.000000e+00	4.764957e+04
-2.791182e+01	g.ZTF	0.000000e+00	6.665889e+14	0.000000e+00	4.241194e+42	0.000000e+00	0.000000e+00	4.764957e+04
-2.791182e+01	g.ZTF	0.000000e+00	6.665889e+14	0.000000e+00	4.241194e+42	0.000000e+00	0.000000e+00	4.764957e+04
-2.791182e+01	g.ZTF	0.000000e+00	6.665889e+14	0.000000e+00	4.241194e+42	0.000000e+00	0.000000e+00	4.764957e+04
-2.791182e+01	g.ZTF	0.000000e+00	6.665889e+14	0.000000e+00	4.241194e+42	0.000000e+00	0.000000e+00	4.764957e+04
-2.791182e+01	g.ZTF	0.000000e+00	6.665889e+14	0.000000e+00	4.241194e+42	0.000000e+00	0.000000e+00	4.764957e+04
-2.791182e+01	g.ZTF	0.000000e+00	6.665889e+14	0.000000e+00	4.241194e+42	0.000000e+00	0.000000e+00	4.764957e+04
-2.791182e+01	g.ZTF	0.000000e+00	6.665889e+14	0.000000e+00	4.241194e+42	0.000000e+00	0.000000e+00	4.764957e+04
-2.791182e+01	g.ZTF	0.000000e+00	6.665889e+14	0.000000e+00	4.241194e+42	0.000000e+00	0.000000e+00	4.764957e+04
-2.791182e+01	g.ZTF	0.000000e+00	6.665889e+14	0.000000e+00	4.241194e+42	0.000000e+00	0.000000e+00	4.764957e+04
-2.791182e+01	g.ZTF	0.000000e+00	6.665889e+14	0.000000e+00	4.241194e+42	0.000000e+00	0.000000e+00	4.764957e+04
-2.791182e+01	g.ZTF	0.000000e+00	6.665889e+14	0.000000e+00	4.241194e+42	0.000000e+00	0.000000e+00	4.764957e+04
-2.791182e+01	g.ZTF	0.000000e+00	6.665889e+14	0.000000e+00	4.241194e+42	0.000000e+00	0.000000e+00	4.764957e+04
-2.791182e+01	g.ZTF	0.000000e+00	6.665889e+14	0.000000e+00	4.241194e+42	0.000000e+00	0.000000e+00	4.764957e+04
-2.791182e+01	g.ZTF	0.000000e+00	6.665889e+14	0.000000e+00	4.241194e+42	0.000000e+00	0.000000e+00	4.764957e+04
-2.791182e+01	g.ZTF	0.000000e+00	6.665889e+14	0.000000e+00	4.241194e+42	0.000000e+00	0.000000e+00	4.764957e+04
-2.791182e+01	g.ZTF	0.000000e+00	6.665889e+14	0.000000e+00	4.241194e+42	0.000000e+00	0.000000e+00	4.764957e+04
-2.791182e+01	g.ZTF	0.000000e+00	6.665889e+14	0.000000e+00	4.241194e+42	0.000000e+00	0.000000e+00	4.764957e+04
-2.791182e+01	g.ZTF	0.000000e+00	6.665889e+14	0.000000e+00	4.241194e+42	0.000000e+00	0.000000e+00	4.764957e+04
-2.791182e+01	g.ZTF	0.000000e+00	6.665889e+14	0.000000e+00	4.241194e+42	0.000000e+00	0.000000e+00	4.764957e+04
-2.791182e+01	g.ZTF	0.000000e+00	6.665889e+14	0.000000e+00	4.241194e+42	0.000000e+00	0.000000e+00	4.764957e+04
-2.791182e+01	g.ZTF	0.000000e+00	6.665889e+14	0.000000e+00	4.241194e+42	0.000000e+00	0.000000e+00	4.764957e+04
-2.791182e+01	g.ZTF	0.000000e+00	6.665889e+14	0.000000e+00	4.241194e+42	0.000000e+00	0.000000e+00	4.764957e+04
3.428177e+00	g.ZTF	2.035239e-04	6.665889e+14	1.113742e+43	1.025794e+42	9.608398e+42	1.934635e+44	3.825994e+04
1.293455e+01	g.ZTF	1.987263e-04	6.665889e+14	1.087488e+43	1.001614e+42	9.401943e+42	1.591085e+44	3.572666e+04
2.339671e+01	g.ZTF	1.838465e-04	6.665889e+14	1.006062e+43	9.266171e+41	8.720555e+42	1.219745e+44	3.310243e+04
2.910512e+01	g.ZTF	1.653999e-04	6.665889e+14	9.051168e+42	8.336434e+41	7.858055e+42	9.874302e+43	3.169304e+04
2.912148e+01	g.ZTF	1.696584e-04	6.665889e+14	9.284203e+42	8.551067e+41	8.060408e+42	1.012565e+44	3.168931e+04
3.195938e+01	g.ZTF	1.576650e-04	6.665889e+14	8.627890e+42	7.946581e+41	7.493133e+42	9.209650e+43	3.140763e+04
3.479814e+01	g.ZTF	1.489825e-04	6.665889e+14	8.152759e+42	7.508969e+41	7.081752e+42	8.605206e+43	3.126112e+04
4.147517e+01	g.ZTF	1.551870e-04	6.665889e+14	8.492286e+42	7.821685e+41	7.378764e+42	8.806283e+43	3.103137e+04
4.432430e+01	g.ZTF	1.243069e-04	6.665889e+14	6.802438e+42	6.265277e+41	5.911609e+42	6.971775e+43	3.087995e+04
4.711739e+01	g.ZTF	1.153707e-04	6.665889e+14	6.313419e+42	6.047469e+41	5.487759e+42	6.389249e+43	3.071711e+04
5.570624e+01	g.ZTF	1.066143e-04	6.665889e+14	5.834244e+42	5.373538e+41	5.073737e+42	5.731218e+43	3.033642e+04
5.573212e+01	g.ZTF	1.051805e-04	6.665889e+14	5.755786e+42	5.301275e+41	5.005513e+42	5.653662e+43	3.033533e+04
5.859475e+01	g.ZTF	9.885880e-05	6.665889e+14	5.409843e+42	4.982649e+41	4.705489e+42	5.258293e+43	3.020166e+04
6.143189e+01	g.ZTF	9.315697e-05	6.665889e+14	5.097821e+42	4.695267e+41	4.434414e+42	4.933687e+43	3.014692e+04
6.712519e+01	g.ZTF	8.532874e-05	6.665889e+14	4.669438e+42	4.300711e+41	4.060956e+42	4.574100e+43	3.030062e+04
7.284951e+01	g.ZTF	8.387168e-05	6.665889e+14	4.589703e+42	6.433910e+41	3.990797e+42	4.551652e+43	3.045749e+04
8.034151e+01	g.ZTF	7.741326e-05	6.665889e+14	4.236280e+42	3.901758e+41	3.682615e+42	4.262321e+43	3.064250e+04
8.320415e+01	g.ZTF	7.714279e-05	6.665889e+14	4.221479e+42	3.888126e+41	3.669389e+42	4.272980e+43	3.071950e+04
8.422983e+01	g.ZTF	7.001246e-05	6.665889e+14	3.831286e+42	3.528745e+41	3.330129e+42	3.884988e+43	3.074255e+04
8.423326e+01	g.ZTF	7.084274e-05	6.665889e+14	3.876722e+42	3.570593e+41	3.369620e+42	3.931092e+43	3.074266e+04
8.423668e+01	g.ZTF	7.122219e-05	6.665889e+14	3.897487e+42	3.589718e+41	3.387668e+42	3.952181e+43	3.074277e+04
8.428016e+01	g.ZTF	7.394271e-05	6.665889e+14	4.046361e+42	3.726836e+41	3.517063e+42	4.103575e+43	3.074412e+04
8.605803e+01	g.ZTF	6.920466e-05	6.665889e+14	3.787081e+42	3.488031e+41	3.291578e+42	3.849308e+43	3.077315e+04
1.004337e+02	g.ZTF	5.286586e-05	6.665889e+14	2.892975e+42	7.071658e+41	2.514564e+42	2.932816e+43	3.073945e+04
1.030617e+02	g.ZTF	5.653734e-05	6.665889e+14	3.093888e+42	4.567871e+41	2.689072e+42	3.145483e+43	3.077625e+04
1.155363e+02	g.ZTF	4.123399e-05	6.665889e+14	2.256444e+42	2.728758e+41	1.961873e+42	2.246717e+43	3.050868e+04
1.221820e+02	g.ZTF	3.952349e-05	6.665889e+14	2.162841e+42	3.135487e+41	1.880869e+42	2.127453e+43	3.035323e+04
1.364268e+02	g.ZTF	3.185190e-05	6.665889e+14	1.743029e+42	2.969970e+41	1.517578e+42	1.599526e+43	2.947764e+04
1.392149e+02	g.ZTF	2.966029e-05	6.665889e+14	1.623098e+42	4.154405e+41	1.413536e+42	1.466910e+43	2.928753e+04
1.430650e+02	g.ZTF	3.047722e-05	6.665889e+14	1.667803e+42	2.669747e+41	1.452923e+42	1.480850e+43	2.906794e+04
1.458409e+02	g.ZTF	3.141777e-05	6.665889e+14	1.719272e+42	2.641292e+41	1.498090e+42	1.507886e+43	2.891610e+04
1.458566e+02	g.ZTF	2.827322e-05	6.665889e+14	1.547193e+42	2.667633e+41	1.348151e+42	1.356882e+43	2.891535e+04
1.468061e+02	g.ZTF	3.391371e-05	6.665889e+14	1.855857e+42	1.709308e+41	1.617203e+42	1.622160e+43	2.887428e+04
1.477590e+02	g.ZTF	3.481892e-05	6.665889e+14	1.905393e+42	1.754932e+41	1.660469e+42	1.659859e+43	2.883284e+04
-2.794911e+01	r.ZTF	0.000000e+00	4.961606e+14	0.000000e+00	3.596429e+42	0.000000e+00	0.000000e+00	4.766200e+04
-2.794911e+01	r.ZTF	0.000000e+00	4.961606e+14	0.000000e+00	3.596429e+42	0.000000e+00	0.000000e+00	4.766200e+04
-2.794911e+01	r.ZTF	0.000000e+00	4.961606e+14	0.000000e+00	3.596429e+42	0.000000e+00	0.000000e+00	4.766200e+04
-2.794911e+01	r.ZTF	0.000000e+00	4.961606e+14	0.000000e+00	3.596429e+42	0.000000e+00	0.000000e+00	4.766200e+04
-2.794911e+01	r.ZTF	0.000000e+00	4.961606e+14	0.000000e+00	3.596429e+42	0.000000e+00	0.000000e+00	4.766200e+04
-2.794911e+01	r.ZTF	0.000000e+00	4.961606e+14	0.000000e+00	3.596429e+42	0.000000e+00	0.000000e+00	4.766200e+04
-2.794911e+01	r.ZTF	0.000000e+00	4.961606e+14	0.000000e+00	3.596429e+42	0.000000e+00	0.000000e+00	4.766200e+04
